관측소,주소,경도,위도,조사년도,암반층관측정수위,암반층관측정표고,암반층관측정심도,충적층관측정수위,충적층관측정표고,충적층관측정심도
양구방산,강원 양구군 방산면 현리 50-4,127.9439015,38.20973694,2016,245.5,250.72,5.22,-,-,-
양구양구,강원 양구군 양구읍 죽곡리 산3-8,127.9968758,38.12546024,2016,183.51,193.77,10.26,-,-,-
양구해안,강원 양구군 해안면 후리 25,128.1589156,38.2838494,2016,410.84,417.39,6.55,-,-,-
양산웅상,경남 양산시 덕계동 811-51,129.1572104,35.38541955,2016,109.17,114.6,5.43,111.07,114.62,3.55
양양손양,강원 양양군 손양면 상운리 96-3,128.6918595,38.04242312,2016,0.13,3.47,3.34,0.91,4.12,3.21
양주광적,경기 양주시 광적면 광적리 20-1,126.9595074,37.82431804,2016,89.56,92.69,3.13,89.53,92.67,3.14
양평개군,경기 양평군 개군면 석장리 191-1,127.5156662,37.45566525,2016,33.99,40.35,6.36,34.1,40.34,6.24
양평양동,경기 양평군 양동면 쌍학리 739-26,127.7499587,37.40873061,2016,102.18,106.6,4.42,102.24,106.54,4.3
양평양서,경기 양평군 양서면 양수리 814-2,127.3134507,37.53774723,2016,23.85,29.01,5.16,23.94,29.02,5.08
양평용문,경기 양평군 용문면 삼성리 941,127.5859219,37.47875893,2016,42.55,46.44,3.89,-,-,-
여수소라,전남 여수시 소라면 복산리 15-2,127.6187559,34.77691919,2016,31.98,48.08,16.1,-,-,-
여수평여,전남 여수시 평여동 986-1,127.6714502,34.81149281,2016,23.62,28.85,5.23,-,-,-
여주금사,경기 여주군 금사면 장흥리 128,127.4883672,37.39065761,2016,89.65,91.91,2.26,-,-,-
여주여주,경기 여주군 여주읍 하리 398,127.618454,37.30358044,2016,30.52,40.22,9.7,-,-,-
여주점동,경기 여주군 점동면 청안리 47-3,127.6606703,37.19926251,2016,57.07,61.8,4.73,57.05,61.74,4.69
연천군남,경기 연천군 군남면 선곡리 627-2,127.0210078,38.10290827,2016,35.59,50.3,14.71,-,-,-
연천왕징,경기 연천군 왕징면 노동리 113-3,126.9914085,38.07437969,2016,65.6,69.422,3.822,-,-,-
영광불갑,전남 영광군 불갑면 안맹리 240-12,126.5070659,35.20931711,2016,22.73,27.46,4.73,-,-,-
영덕달산,경북 영덕군 달산면 대지리 921,129.2979821,36.41302255,2016,42.44,46.42,3.98,42.46,46.43,3.97
영덕병곡,경북 영덕군 병곡면 영리 287-13,129.4024266,36.59087635,2016,1.25,4.9,3.65,-,-,-
영덕영해,경북 영덕군 영해면 벌영리 563-6,129.3956315,36.54242804,2016,7.81,10.69,2.88,-,-,-
영동심천,충북 영동군 심천면 금정리 204-1,127.7070468,36.18851792,2016,104.56,113.83,9.27,-,-,-
영동양강,충북 영동군 양강면 괴목리 201-1,127.7510555,36.15292,2016,147.58,151.05,3.47,147.73,151.05,3.32
